Time Stamp	Python count i	PSoC Count n	Desired Temp.	Error Signal	Command Resistance	RPM	Temp 1 (C)	Temp 2 (C)
03/06/2012 11:51:16	0	-1	-10	-27.63	1	0	16.5	18.75
03/06/2012 11:51:23	1	0	-10	-27.5	1	2572.9	16.5	18.5
03/06/2012 11:51:30	2	1	-10	-27.5	1	3404.6	16.25	18.75
03/06/2012 11:51:37	3	2	-10	-27.25	1	3447.7	16	18.5
03/06/2012 11:51:44	4	3	-10	-27.25	1	3502	16.25	18.25
03/06/2012 11:51:51	5	4	-10	-27.25	1	3505.8	16	18.5
03/06/2012 11:51:58	6	5	-10	-27	1	3505.5	15.75	18.25
03/06/2012 11:52:05	7	6	-10	-26.88	1	3507	15.5	18.25
03/06/2012 11:52:12	8	7	-10	-27	1	3508.9	15.75	18.25
03/06/2012 11:52:19	9	8	-10	-26.88	1	3508.9	15.5	18.25
03/06/2012 11:52:26	10	9	-10	-26.75	1	3496.9	15.5	18
03/06/2012 11:52:55	0	-1	-10	-26.38	1	0	15	17.75
03/06/2012 11:53:02	1	0	-10	-26.25	1	0	15	17.5
03/06/2012 11:53:09	2	1	-10	-26.25	1	3240.7	15	17.5
03/06/2012 11:53:16	3	2	-10	-26	1	3498.1	14.75	17.25
03/06/2012 11:53:23	4	3	-10	-26.13	1	3498.6	15	17.25
03/06/2012 11:53:30	5	4	-10	-25.75	1	3498.6	14.5	17
03/06/2012 11:53:37	6	5	-10	-25.75	1	3512.4	14.5	17
03/06/2012 11:53:44	7	6	-10	-25.75	1	3506.2	14.5	17
03/06/2012 11:53:51	8	7	-10	-25.63	1	3508.6	14.5	16.75
03/06/2012 11:53:58	9	8	-10	-25.63	1	3503.2	14.25	17
03/06/2012 11:54:05	10	9	-10	-25.38	1	3504.9	14	16.75
03/06/2012 11:54:12	11	10	-10	-25.5	1	3503.7	14.25	16.75
03/06/2012 11:54:19	12	11	-10	-25.5	1	3510.8	14.25	16.75
03/06/2012 11:54:27	13	12	-10	-25.38	1	3502.8	14.25	16.5
03/06/2012 11:54:34	14	13	-10	-25.13	1	3504.9	13.75	16.5
03/06/2012 11:54:41	15	14	-10	-25	1	3503.6	13.75	16.25
03/06/2012 11:54:48	16	15	-10	-25	1	3511.2	13.75	16.25
03/06/2012 11:54:55	17	16	-10	-25	1	3500.7	13.5	16.5
03/06/2012 11:55:02	18	17	-10	-25.13	1	3507.5	13.75	16.5
03/06/2012 11:55:09	19	18	-10	-24.63	1	3504	13.5	15.75
03/06/2012 11:55:16	20	19	-10	-24.63	1	3508.1	13.25	16
03/06/2012 11:55:23	21	20	-10	-24.5	1	3502.5	13	16
03/06/2012 11:55:30	22	21	-10	-24.5	1	3506.1	13	16
03/06/2012 11:55:37	23	22	-10	-24.38	1	3505.1	13	15.75
03/06/2012 11:55:44	24	23	-10	-24.13	1	3503.7	12.75	15.5
03/06/2012 11:55:51	25	24	-10	-24.25	1	3511.3	12.75	15.75
03/06/2012 11:55:58	26	25	-10	-24.25	1	3507.1	12.75	15.75
03/06/2012 11:56:05	27	27	-10	-23.88	1	3503.8	12.25	15.5
03/06/2012 11:56:12	28	28	-10	-23.88	1	3509.3	12.25	15.5
03/06/2012 11:56:19	29	29	-10	-23.75	1	3503.1	12.25	15.25
03/06/2012 11:56:26	30	30	-10	-23.75	1	3504.8	12.25	15.25
03/06/2012 11:56:33	31	31	-10	-23.5	1	3505.9	12.25	14.75
03/06/2012 11:56:40	32	32	-10	-23.5	1	3507.2	12	15
03/06/2012 11:56:47	33	33	-10	-23.63	1	3514.2	12.25	15
03/06/2012 11:56:54	34	34	-10	-23.25	1	3508.7	11.5	15
03/06/2012 11:57:01	35	35	-10	-23	1	3506.6	11.5	14.5
03/06/2012 11:57:08	36	36	-10	-23.25	1	3510.6	11.75	14.75
03/06/2012 11:57:15	37	37	-10	-23	1	3499.9	11.5	14.5
03/06/2012 11:57:22	38	38	-10	-23.13	1	3506	11.5	14.75
03/06/2012 11:57:29	39	39	-10	-22.88	1	3507.3	11.5	14.25
03/06/2012 11:57:36	40	40	-10	-22.75	1	3506.1	11.25	14.25
03/06/2012 11:57:43	41	41	-10	-22.75	1	3503	11.25	14.25
03/06/2012 11:57:50	42	42	-10	-22.63	1	3500.3	11	14.25
03/06/2012 11:57:57	43	43	-10	-22.63	1	3509.8	11.25	14
03/06/2012 11:58:04	44	44	-10	-22.5	1	3500.4	11	14
03/06/2012 11:58:11	45	45	-10	-22.38	1	3513.7	11	13.75
03/06/2012 11:58:18	46	46	-10	-22.25	1	3498.5	11	13.5
03/06/2012 11:58:25	47	47	-10	-22.13	1	3503.5	10.5	13.75
03/06/2012 11:58:32	48	48	-10	-22.13	1	3504.2	10.75	13.5
03/06/2012 11:58:39	49	49	-10	-22.13	1	3503.3	10.5	13.75
03/06/2012 11:58:46	50	50	-10	-21.75	1	3506.7	10.25	13.25
